timestamp,open,high,low,close,volume
2024-01-01 00:00:00,100.0,100.7335,99.7689,100.2484,8145
2024-01-01 00:01:00,100.2484,100.3936,99.8806,100.1792,2992
2024-01-01 00:02:00,100.1792,101.0391,99.3117,100.5031,4834
2024-01-01 00:03:00,100.5031,101.3216,100.3024,101.2646,3861
2024-01-01 00:04:00,101.2646,101.8166,100.8779,101.1475,4525
2024-01-01 00:05:00,101.1475,101.2416,100.7245,101.0304,4662
2024-01-01 00:06:00,101.0304,101.924,100.8125,101.82,5639
2024-01-01 00:07:00,101.82,102.4427,101.3208,102.2038,5027
2024-01-01 00:08:00,102.2038,102.4444,101.4871,101.969,3266
2024-01-01 00:09:00,101.969,102.5842,101.5869,102.2403,882
2024-01-01 00:10:00,102.2403,102.5677,101.9912,102.0086,5955
2024-01-01 00:11:00,102.0086,102.2515,101.5307,101.7757,776
2024-01-01 00:12:00,101.7757,102.0238,101.2943,101.8967,5823
2024-01-01 00:13:00,101.8967,102.0141,100.0246,100.9401,8482
2024-01-01 00:14:00,100.9401,101.2015,99.9795,100.0776,486
2024-01-01 00:15:00,100.0776,100.2246,99.6954,99.7965,8156
2024-01-01 00:16:00,99.7965,99.9616,99.1816,99.2901,7514
2024-01-01 00:17:00,99.2901,99.8647,99.2603,99.4472,5731
2024-01-01 00:18:00,99.4472,99.6063,98.9573,98.9932,5269
2024-01-01 00:19:00,98.9932,99.0361,98.1707,98.287,5332
2024-01-01 00:20:00,98.287,99.8967,97.9438,99.0198,4007
2024-01-01 00:21:00,99.0198,99.051,98.5528,98.907,297
2024-01-01 00:22:00,98.907,98.9698,98.3444,98.9407,1700
2024-01-01 00:23:00,98.9407,99.1952,98.0339,98.2283,6206
2024-01-01 00:24:00,98.2283,98.3962,97.8491,97.9561,4300
2024-01-01 00:25:00,97.9561,98.4361,97.6939,98.0116,6920
2024-01-01 00:26:00,98.0116,98.4337,96.9243,97.4361,7108
2024-01-01 00:27:00,97.4361,97.9563,97.2661,97.624,4189
2024-01-01 00:28:00,97.624,97.9507,96.8185,97.3236,6155
2024-01-01 00:29:00,97.3236,97.4806,96.9376,97.1778,2498
2024-01-01 00:30:00,97.1778,97.4325,96.5995,96.8769,3442
2024-01-01 00:31:00,96.8769,97.8446,96.7637,97.8031,969
2024-01-01 00:32:00,97.8031,97.8878,97.3479,97.7963,1400
2024-01-01 00:33:00,97.7963,97.8662,97.0493,97.2675,4933
2024-01-01 00:34:00,97.2675,97.7666,96.7033,97.6788,8630
2024-01-01 00:35:00,97.6788,97.8735,96.9489,97.0683,1086
2024-01-01 00:36:00,97.0683,97.2685,96.1947,97.1728,2106
2024-01-01 00:37:00,97.1728,97.5507,95.4308,96.1929,3430
2024-01-01 00:38:00,96.1929,96.7143,94.8982,95.5288,6347
2024-01-01 00:39:00,95.5288,95.9581,95.2706,95.6273,7983
2024-01-01 00:40:00,95.6273,96.0263,95.5455,95.9965,7718
2024-01-01 00:41:00,95.9965,96.2561,95.9826,96.0822,7889
2024-01-01 00:42:00,96.0822,96.2462,95.7931,96.0244,3239
2024-01-01 00:43:00,96.0244,96.2101,95.7612,95.8738,8809
2024-01-01 00:44:00,95.8738,95.9475,95.1115,95.1345,678
2024-01-01 00:45:00,95.1345,95.1958,94.7574,94.7746,5589
2024-01-01 00:46:00,94.7746,95.15,94.1314,94.5443,9197
2024-01-01 00:47:00,94.5443,95.4407,94.4583,95.0729,4859
2024-01-01 00:48:00,95.0729,95.2604,94.8389,95.2447,1091
2024-01-01 00:49:00,95.2447,95.2822,94.2331,94.3632,3704
2024-01-01 00:50:00,94.3632,94.758,94.2088,94.5252,9764
2024-01-01 00:51:00,94.5252,94.531,94.0529,94.3327,7844
2024-01-01 00:52:00,94.3327,94.5531,93.7074,93.9942,6502
2024-01-01 00:53:00,93.9942,94.5868,93.3576,94.3,3650
2024-01-01 00:54:00,94.3,95.1756,93.873,94.8155,9402
